"cust_id","mg_acc","cust_age","cust_gender","cust_income","cust_cr_score"
7262099,876660,43,"male",98800,592
9642714,241172,40,"male",74500,745
2651156,127800,48,"male",72000,555
4157961,21284,65,"male",101100,735
4670392,631590,52,"male",41900,761
7186529,631590,49,"male",72100,708
3134901,501291,52,"male",101100,891
949724,660029,41,"female",73800,651
4268606,180854,49,"male",90700,764
519921,625166,58,"male",122700,795
3004614,960314,44,"female",109700,559
2872968,892419,29,"male",45000,765
4049375,892419,23,"female",49900,479
4102611,719324,32,"male",63700,787
4870113,501690,45,"male",117400,777
6196935,782996,46,"male",241800,857
1757254,450769,42,"female",49200,649
3417450,450769,34,"male",33100,821
1546135,163609,43,"male",72100,630
2364038,695856,28,"male",45200,665
8386765,695856,26,"male",62100,742
9109616,641328,55,"male",118200,751
1348014,443612,32,"male",103100,873
8896373,458281,55,"female",179200,797
1360811,917243,32,"male",57000,539
402880,951315,55,"female",74600,781
3683126,951315,45,"female",81700,393
4710058,59746,42,"male",69400,605
6798638,11394,28,"male",153800,764
9583223,821714,37,"male",102800,818
3075199,352312,57,"female",112700,696
5027776,734591,36,"male",116400,668
5045207,238473,45,"male",202200,614
896321,28759,33,"male",65700,818
1745355,934285,45,"female",64700,603
7226436,404267,26,"male",76500,560
3846045,587079,29,"male",96500,635
4487364,704588,41,"male",187800,710
5912309,273349,33,"female",65300,481
1403640,272957,57,"male",60100,624
8099498,995258,27,"male",61100,716
5264512,802016,58,"female",91600,587
7740261,329078,56,"male",90300,720
8844389,474797,47,"male",91800,712
8675741,788578,29,"male",74700,755
189710,175821,59,"male",131400,722
6558642,811911,50,"male",153500,839
3032434,128615,44,"female",96300,488
3024348,431337,58,"male",163900,840
267542,940856,60,"male",50300,698
1038885,940856,56,"female",46700,804
1239927,537775,42,"male",122000,874
7217424,484251,41,"male",127000,841
7908132,766988,39,"male",58500,638
4355701,672765,51,"female",93200,759
4667389,406148,33,"female",75100,619
9352815,427819,46,"male",40900,739
1955272,427819,40,"female",59900,737
8761271,496368,38,"male",71800,779
2560685,108145,53,"male",43800,788
3600639,108145,43,"female",51900,750
2582545,414938,30,"male",58800,626
5096271,221585,43,"male",212200,766
6605745,492275,43,"female",75300,601
1812459,802147,33,"male",77500,720
3888977,18201,45,"male",104100,840
5268064,290818,38,"female",115500,896
8249829,361799,31,"male",65000,668
4184191,514316,42,"male",124800,634
6143165,25682,55,"male",90600,640
4541409,828338,28,"male",60700,735
6196495,322984,30,"male",50700,739
6534428,521919,38,"male",244900,772
7105577,177441,25,"female",63500,776
1477073,247273,40,"male",79400,744
198890,99039,43,"male",112300,690
8080351,978216,37,"male",66900,650
7666370,884517,43,"male",102300,781
5764044,866227,35,"male",125800,816
4445448,269939,41,"male",57000,472
5752470,600466,41,"male",124600,657
5128277,850167,53,"male",80700,655
6724971,455694,37,"female",116300,703
3418781,55853,53,"male",53300,676
7823115,281971,36,"male",78200,502
2129698,576538,42,"male",152800,881
265269,285313,50,"male",40300,656
8555406,285313,44,"female",46600,689
4214592,671042,42,"female",85800,450
4022026,296110,33,"male",58200,656
4970652,509845,53,"male",175500,866
9070651,826565,43,"male",75700,707
5376797,238160,40,"female",149300,564
5129876,23124,32,"male",66600,713
8911005,780319,51,"male",133300,894
9869,60278,48,"female",76400,507
8065932,514729,58,"male",81900,633
99974,213254,35,"female",61300,636
9214588,810063,56,"male",152100,738
9748851,327354,51,"male",78500,580
6080509,301685,60,"male",52700,731
8557119,824593,42,"male",56700,843
8468153,554060,53,"male",158300,673
6147563,660783,32,"male",116100,777
6419559,622186,33,"male",58200,598
7132422,193361,57,"male",185700,831
8308736,541979,43,"female",56700,658
3771123,742538,30,"male",67900,720
1995739,627829,52,"female",197400,865
8502485,327928,39,"female",55800,693
1711339,876167,56,"male",155900,540
2857224,114240,43,"male",226900,585
2828552,222968,37,"male",87300,831
6292258,94422,34,"male",60100,640
9108038,406951,31,"male",57400,516
63051,300506,38,"male",120100,665
4836294,942084,46,"male",95200,772
5208215,359356,37,"male",194300,848
8850865,458778,63,"male",85700,704
2455447,194730,45,"male",147100,899
9336461,310243,47,"male",101900,654
9059549,833814,38,"male",102600,878
6465980,735221,55,"female",69700,752
6146554,62868,38,"female",81500,626
2211318,198061,45,"female",98400,793
118015,709807,26,"male",62800,741
2132027,841604,56,"male",91800,707
8394341,661583,30,"female",114000,578
1671729,367034,39,"male",52700,802
2891232,252410,36,"female",48400,595
5166811,252410,35,"female",41000,676
6303632,107740,47,"male",121200,717
5566439,713055,44,"male",113400,626
8674898,55498,34,"female",87500,685
2986293,429065,37,"male",54600,574
4882085,52776,63,"male",87200,683
553104,647507,50,"female",245900,784
7998819,392103,40,"female",46100,645
8298934,392103,31,"male",53100,874
8358877,649371,31,"male",54900,569
7544245,212051,44,"female",126300,766
7724257,279336,46,"female",116900,580
4191764,319793,34,"male",112700,813
3432726,549868,25,"male",67600,738
5249921,689087,56,"male",68600,604
381457,544677,34,"male",71000,589
5932534,619347,48,"male",109600,841
9456038,31092,25,"female",78800,677
127381,924529,54,"male",123700,700
4734208,355349,52,"male",95200,742
3280995,957926,42,"male",127300,888
5199936,437861,40,"male",69900,724
5152046,386103,31,"male",76900,749
2701494,61517,49,"male",70000,828
3627398,653556,41,"male",154500,863
2984859,670893,45,"female",69800,524
4873306,638789,51,"male",218900,819
3005103,650949,31,"male",76100,678
9400556,806862,49,"female",158200,676
2614780,603410,52,"male",160100,873
8191554,103528,32,"male",78400,832
6495658,598034,41,"male",95700,773
9004993,190929,44,"male",46300,543
4721938,190929,35,"female",48700,705
9306985,428768,47,"male",108200,872
7181599,402994,45,"male",155900,710
6350235,281380,55,"male",91300,577
9646610,647046,46,"male",96800,833
4258254,26030,29,"male",174400,672
1859493,216233,34,"male",57600,598
2446412,837176,46,"male",84600,678
62804,811150,37,"male",123000,871
2640777,452040,51,"male",117700,627
4625864,906749,32,"male",95000,607
897844,598829,46,"male",71500,774
5827136,175337,46,"male",121400,840
4501669,929708,44,"male",75900,794
3508260,7984,50,"male",229400,807
4743852,782032,33,"male",158300,876
8527641,291751,41,"male",95800,814
7706835,910209,41,"male",44300,618
5083820,910209,39,"female",37600,467
4169605,471649,34,"male",93900,863
9417677,526907,59,"male",86600,728
2525313,575208,37,"male",77900,553
5241972,950028,53,"male",42400,874
1771593,950028,45,"female",45800,738
1494651,244969,52,"male",109100,744
5228569,618757,33,"male",66000,596
4798299,377129,50,"male",102200,659
8085258,220619,40,"male",166200,670
6838979,996488,42,"male",102400,767
1871480,548277,45,"male",68100,743
9359449,420114,39,"male",69500,762
9210293,649472,34,"female",59200,750
9646067,337704,37,"male",74100,835
1689071,161599,62,"male",126600,840
2149980,532036,44,"male",82000,735
3222344,960160,41,"male",82500,706
9008426,729423,35,"male",209400,774
8200975,196141,43,"male",95500,816
4617801,309624,63,"female",159100,626
1302383,774965,62,"male",100100,721
5381713,240846,57,"female",84900,636
259459,851483,61,"female",130500,682
2791946,599353,41,"male",85300,741
3077145,874782,49,"male",121000,880
2253683,775872,62,"male",85800,862
6983706,831953,50,"male",116700,575
7480502,919436,31,"male",71800,625
9469020,551086,44,"male",174300,578
7166215,109005,48,"male",185300,852
1310379,333366,50,"male",53900,582
8340237,782091,42,"male",147500,730
5119728,569296,55,"female",193700,711
1234312,983629,31,"male",100200,741
3447832,883487,35,"male",73900,679
8529939,234102,47,"female",210800,673
6310984,352577,57,"female",59000,717
759968,6388,42,"female",115500,727
1451772,71057,46,"male",105700,785
5254284,870056,30,"male",60800,759
7985557,240152,58,"female",114900,643
357589,825494,44,"female",80400,623
2798596,653505,34,"male",50500,641
7435545,388526,26,"male",78000,712
2939765,766211,45,"male",1e+05,886
3796914,629290,38,"male",113600,859
8859707,137494,50,"female",81800,655
7751353,308468,55,"female",86300,707
3668342,41363,40,"male",73600,742
7004843,160753,47,"male",126300,795
1521872,459368,33,"male",61100,749
3675834,18300,40,"female",43900,608
8599446,18300,34,"male",49800,781
8400719,509638,45,"female",49700,740
6375674,509638,41,"female",70500,309
5729876,976534,32,"male",214200,838
8137200,674340,48,"male",146100,774
929009,890578,34,"male",50100,694
2572712,636054,26,"male",50400,793
389299,301365,32,"male",67300,644
5650530,547283,37,"male",83000,651
4327354,51131,56,"male",101400,721
7803982,644888,48,"male",173800,718
7677524,741133,40,"male",71300,450
3755915,158263,35,"female",155200,687
6856098,271032,41,"male",51000,704
2376159,861824,52,"male",71500,686
3814518,166742,50,"male",241400,638
3349717,985939,36,"male",72100,690
1758000,975259,46,"male",56700,724
4349507,134858,27,"male",110100,869
4437484,545040,31,"male",76200,712
5901769,330014,61,"female",164500,560
223511,639504,48,"male",111100,678
5912943,211677,34,"female",78300,688
9562074,99334,25,"female",91700,582
423447,330594,50,"male",101500,826
7062728,578354,33,"male",75200,866
6091676,698245,37,"male",54500,789
6873182,196474,34,"male",55400,737
9922499,791843,62,"male",158500,743
4921645,350229,47,"male",115300,628
8270051,350032,47,"female",70800,663
4246337,911053,64,"female",51500,683
9816838,911053,63,"female",79800,704
9080207,907491,34,"male",67700,728
5472040,874738,49,"male",57100,853
7876997,517982,45,"male",120900,634
324463,758852,60,"male",65900,704
3203378,46760,34,"male",115200,602
2828748,360246,41,"male",102500,857
7920461,298697,51,"male",156100,657
5385356,364616,41,"female",61200,569
6040767,172951,41,"male",60200,491
8567479,88241,49,"male",97100,751
7793726,64715,65,"male",163500,787
540201,616762,29,"male",63900,822
3413079,727774,56,"female",118100,650
7335706,358999,36,"male",63200,787
8564962,30345,56,"male",149900,891
967261,319446,57,"female",139300,719
7713922,725657,30,"male",69800,693
5315672,820234,57,"male",46900,861
8286364,820234,54,"female",111900,629
9352668,738461,35,"female",47300,576
7784263,738461,32,"male",45300,738
8339618,345251,28,"male",50200,639
1792395,987213,44,"male",97600,643
3037201,376318,45,"female",69000,567
8524183,34736,33,"male",54900,740
1344043,703059,42,"male",117900,634
6766018,658401,25,"male",154800,736
8379417,127100,49,"female",66600,445
8957905,910932,30,"male",69200,707
1552250,504427,47,"male",93600,683
2771307,69086,30,"male",67200,676
6348794,902314,51,"male",180700,802
4245952,638420,46,"male",171600,846
1076653,555906,49,"male",155700,709
8532571,554822,28,"male",210700,715
9316897,591563,26,"male",77900,640
7567336,615422,36,"male",83800,864
8428751,412287,39,"male",81700,527
9713279,894270,34,"male",56400,636
4355948,115010,36,"male",153400,811
1786940,761503,26,"female",66000,867
8755554,159288,29,"male",55300,682
9324389,883412,47,"male",53600,677
2792127,164479,55,"female",53800,586
2698126,164479,46,"male",56900,762
6999302,429923,27,"female",182300,742
2637439,424385,42,"female",100100,651
7618693,278190,40,"male",68500,670
1774497,410887,37,"female",114500,658
4246029,456243,28,"female",61700,556
7774695,692622,32,"male",54200,881
3896895,512209,30,"male",51700,525
13099,513596,42,"male",105500,735
8849637,245469,49,"male",67400,710
819911,237267,50,"male",55500,570
6854935,914203,34,"male",83500,753
462981,981193,48,"female",51100,592
1204475,851358,44,"female",42100,677
8557516,851358,34,"male",39200,822
7006805,536901,49,"male",48200,792
3095469,536901,46,"female",45900,447
6881921,972928,27,"female",52000,682
6588925,244340,54,"female",60600,673
4817016,475640,53,"male",184800,880
4249903,56712,36,"male",53900,692
3762462,253551,48,"female",58400,711
3247157,653177,57,"female",141800,755
3467089,739483,54,"female",100400,539
6127759,188017,36,"male",65400,804
5291950,803857,31,"female",77800,591
3308299,897199,25,"male",62500,822
3110716,126064,48,"female",155000,792
5691087,904820,58,"male",51800,661
6335342,715711,38,"male",75100,542
6465806,667049,36,"male",79700,711
8901657,966961,36,"male",77900,644
2589595,589755,35,"female",54100,455
8637150,103829,27,"female",69900,478
8920168,907899,39,"male",60100,750
6596486,149342,49,"male",174700,635
4129640,64705,36,"male",56600,823
3446870,821848,40,"female",61000,640
7207762,186914,54,"male",58700,693
8263153,286535,41,"male",159300,801
806877,509069,64,"female",165200,468
4379218,591287,47,"male",70200,624
3492984,251092,34,"male",68000,718
9394812,269476,38,"female",77300,481
2652880,699341,56,"female",108900,691
1637967,732901,45,"male",51500,820
7555416,490895,35,"male",55200,693
3823921,980166,47,"male",73500,592
7032023,994801,49,"male",103400,777
9972622,264157,62,"male",98800,726
3501160,854880,32,"female",68700,751
9987179,3795,26,"male",68100,662
2434052,648872,40,"male",169900,794
1936182,112601,62,"male",117800,810
1712935,810652,47,"male",113700,693
2451457,347028,65,"male",105500,737
1003288,820754,41,"male",154000,791
4385377,101878,36,"male",57700,760
3989335,195801,46,"female",60000,636
9433210,83897,39,"male",69500,689
2496844,240359,32,"female",103300,725
9620552,15137,26,"male",54900,707
4224062,887274,33,"male",72600,567
3021998,182452,36,"male",122900,872
6703535,582052,39,"male",90600,700
9751889,142185,33,"male",74300,783
4076476,403121,34,"female",60700,518
8766450,371442,29,"male",81500,779
886058,472527,50,"male",193400,670
5376993,162353,34,"male",85900,799
2810006,181750,45,"male",119800,886
1584715,952015,53,"male",70000,592
4223007,561550,50,"male",118700,723
2496007,38669,46,"male",129800,868
6089558,78621,39,"male",62400,564
6772190,220820,30,"female",78900,864
6649945,728302,51,"male",84900,624
4770562,702525,56,"male",131100,853
5265599,671149,40,"male",101400,692
7634635,671149,33,"female",74300,569
4075761,567521,31,"female",65400,384
3579531,147178,50,"male",168300,871
6893614,278114,54,"male",40000,733
6795392,278114,50,"female",50700,786
2986306,707565,45,"male",188300,871
7256887,424038,47,"female",126600,697
7734641,786423,51,"male",58700,683
4696799,728784,27,"male",78900,802
8956936,509348,58,"male",87700,870
2693313,812566,46,"male",132500,706
4785135,64429,29,"male",52000,817
6769598,904879,35,"male",87000,655
4448932,380075,46,"male",125000,775
9327053,161229,60,"male",145300,880
5224340,589700,36,"male",71800,597
2740692,818688,48,"male",83200,847
615903,646949,45,"male",148600,813
4171986,849607,37,"male",79700,595
5251669,783484,36,"male",42600,662
8920330,783484,33,"female",38100,769
9977820,945156,44,"male",164400,872
8924568,50824,58,"male",167600,899
1331852,336939,41,"male",125800,794
2026244,824798,30,"male",69100,706
5362216,400705,41,"male",82300,664
2506165,189558,43,"male",50100,760
6810314,90520,45,"male",138100,725
4565212,196584,27,"male",55600,719
4842459,691301,43,"male",125900,840
4238634,257425,35,"male",42000,677
5315954,257425,33,"female",74300,638
423935,74162,28,"female",52200,551
6624872,903682,39,"male",118800,741
1009730,154771,44,"female",104800,565
553867,548391,38,"male",121100,851
5773012,200439,36,"male",55100,582
4697343,271915,55,"male",113300,667
4322626,808885,38,"male",121200,622
3703527,35132,45,"female",172700,736
4446986,258459,46,"male",94200,715
720768,561360,29,"male",88500,581
7337423,289250,52,"male",201900,780
7579398,918289,37,"male",74100,724
4474975,669643,42,"male",47600,623
2644213,669643,35,"female",35000,554
4993807,690837,48,"male",56700,735
9673708,690837,44,"female",39000,596
4868360,218615,60,"male",51000,676
3624225,218615,51,"female",176200,739
4556381,45676,49,"male",53000,774
3952279,353645,28,"female",66200,461
9369753,64221,46,"female",72200,509
4972436,704724,41,"male",75600,757
3442673,704724,39,"female",53200,724
2004710,543379,53,"female",93700,767
748244,548194,43,"male",73600,667
233324,532710,43,"male",70100,721
7123311,662927,42,"male",230000,727
6410711,151868,29,"female",113300,532
7645643,657173,50,"male",155200,740
9107478,413151,32,"male",70500,695
6745132,908778,28,"male",68800,590
6617044,32539,35,"male",209400,870
2586335,209103,27,"male",54600,592
4745347,67422,29,"male",50400,587
4891353,312721,36,"male",72000,752
5432718,484482,46,"female",83800,653
1888483,351016,25,"male",53200,779
4693755,41810,63,"male",145100,690
1719930,904913,32,"female",62100,748
85549,292490,42,"male",119200,639
3953480,306374,42,"male",63600,703
991908,289448,41,"male",50700,583
4464872,984644,42,"female",112800,650
9666911,541944,48,"male",122400,692
4664813,810556,30,"male",75300,682
982218,326616,30,"female",74000,694
1719075,434429,54,"male",143400,761
9939525,664894,46,"male",120500,879
3271586,690886,44,"female",134500,688
337591,761716,46,"male",59700,866
4776356,961224,45,"female",91000,627
4506618,806505,39,"male",72900,689
7223305,138449,29,"female",64200,516
2864087,42128,36,"male",56300,649
9622613,691174,33,"male",72100,696
2990790,398946,43,"male",96500,570
540292,197860,55,"male",54700,877
8849664,197860,51,"female",136300,630
5788679,17744,42,"female",50800,408
3589771,489702,47,"male",96400,851
3291386,739543,39,"male",118300,584
6482572,836672,49,"male",96700,794
1705167,448688,48,"male",45100,637
5492160,448688,43,"female",46500,725
9745698,70376,30,"male",83600,637
9069123,879292,46,"female",46700,719
3307335,879292,39,"female",60800,702
6662790,208836,48,"male",75800,836
498082,208836,41,"female",119400,610
5985303,344914,61,"male",44600,706
2128783,344914,59,"female",151100,841
2267870,802839,33,"female",102900,767
975679,388454,35,"male",77300,727
8483939,377018,43,"male",66600,670
79120,206196,31,"male",64300,884
8616710,624393,39,"male",56200,818
8931061,624393,30,"female",46000,655
7705772,462349,42,"female",59600,415
652486,682675,46,"female",65200,579
2589145,682675,42,"male",50500,793
4682863,598136,50,"male",109100,807
304259,101198,32,"male",53500,595
8052132,823594,58,"male",177200,577
7105870,805085,42,"male",83600,651
5921985,842078,48,"female",40500,677
1482412,842078,40,"female",52200,698
3954756,902910,42,"male",66000,653
2012788,926168,40,"female",57800,550
235701,872763,40,"male",63200,722
2106622,9116,40,"male",120800,688
8293571,629684,60,"male",191100,857
8077660,692669,49,"male",50800,675
6855362,513881,46,"male",79700,686
9986032,562867,29,"male",65000,809
7253490,467384,34,"female",72500,702
6295950,303551,50,"male",74300,790
8125386,874065,35,"male",161700,775
9211257,202815,31,"male",52300,505
5537420,179756,40,"male",55400,651
7127049,179756,31,"female",52800,707
5076121,246321,27,"male",59800,652
1171202,851350,44,"female",152900,636
7448522,609084,46,"male",127500,801
9764999,897228,57,"male",172100,763
8076788,939080,40,"male",120600,868
9001834,948556,38,"male",59700,562
7556335,435356,61,"female",80600,671
240285,435356,59,"male",92800,864
7105994,185197,42,"male",77500,652
7360324,185954,48,"male",193000,888
68561,280283,57,"male",152400,833
1444661,543881,44,"male",54000,830
5488986,217664,43,"male",58300,562
3776209,256228,31,"male",74700,725
5719925,786830,60,"male",184700,839
7152996,838873,44,"female",133500,642
4087406,28714,58,"female",190800,774
1343155,32046,33,"male",79300,717
2977050,119724,61,"male",162400,594
4883859,916124,53,"female",108000,846
1169422,494332,48,"male",53800,812
4936144,494332,46,"female",38900,603
131611,116939,42,"male",168900,747
8538186,762288,59,"female",55700,694
9942822,75808,55,"male",150100,864
7548682,154952,51,"female",130000,856
7959768,745495,43,"male",51400,475
2729097,275118,41,"male",101600,521
6407964,703411,59,"male",115700,870
5660032,126888,41,"male",110900,621
9953052,343627,64,"male",112500,574
9999086,161074,41,"female",64700,726
803577,16603,37,"male",161200,820
9372321,331352,53,"male",72800,741
4751315,178999,34,"female",73500,580
5462354,847647,35,"female",57700,547
9890480,386799,35,"male",118700,880
9325196,573410,58,"male",50000,749
9764645,573410,52,"female",40900,470
5376499,142020,46,"male",72200,649
7962747,235451,49,"male",93900,707
8042668,537545,58,"male",97400,804
3734320,651847,32,"male",60500,466
9275635,887983,49,"male",97400,804
1820950,921589,37,"male",68700,642
4235809,823825,44,"male",223900,650
4929359,760354,53,"male",113000,757
9845851,904321,27,"female",74800,799
5705101,738803,34,"male",76700,748
5638480,984913,38,"male",80500,752
6360632,190710,42,"female",53400,641
5158420,225554,36,"female",65500,815
6865514,933359,48,"male",107300,809
4714275,493974,37,"female",101100,748
2486790,981249,31,"male",75100,708
757478,995829,35,"female",64100,714
5907538,649438,40,"female",116400,484
960683,47520,45,"male",101100,725
7001381,367346,60,"male",181600,887
2339098,318873,34,"male",77000,614
9190467,231688,49,"female",251400,626
1803966,463133,28,"male",53200,746
5132247,644742,33,"male",121100,735
6007460,591760,42,"female",96400,777
3866494,205694,44,"male",72000,701
160346,519642,31,"male",104200,800
4773939,566105,42,"male",83400,852
4071540,943251,48,"male",81400,727
8685240,759238,29,"male",79600,612
3987432,151312,52,"male",112400,596
2301178,440098,29,"male",56400,556
4481583,217864,44,"female",108200,501
6371973,900802,47,"male",59900,732
7566344,713436,56,"female",207100,758
7129760,371121,52,"male",108300,722
8323841,231072,46,"male",108000,747
5132357,714532,34,"female",47800,596
3797636,714532,33,"female",42000,847
4852909,449104,46,"male",74100,866
2184204,707353,31,"male",73000,601
369114,615406,47,"female",156100,588
7842777,789269,26,"female",62000,623
8368606,825614,32,"male",64100,744
9850255,46960,49,"male",166600,664
3923744,372369,43,"male",93000,807
3770241,844765,34,"male",58900,670
2164058,182573,58,"male",49100,747
3905359,182573,49,"female",35600,725
1108412,66029,48,"male",53300,703
4284687,681867,49,"male",190300,788
3746831,801139,28,"male",63500,639
8130892,939731,43,"male",94300,793
3968844,201842,43,"male",111400,808
1524550,356224,49,"female",78600,506
809655,693464,46,"male",106200,656
1163,214488,31,"male",103200,756
6683513,525421,29,"male",57700,784
4487354,873237,59,"female",138300,829
674230,59238,43,"female",143900,795
7459391,956650,42,"male",120100,568
5575118,745088,53,"male",176400,658
253101,89425,37,"male",56800,616
217286,481342,55,"male",108500,710
3097008,523075,50,"male",124900,736
4163113,146176,55,"male",89900,709
5976862,788411,28,"male",77500,709
5137749,623449,57,"female",81000,851
4308150,960001,31,"male",68800,823
4093711,529551,49,"female",168400,642
4538496,875975,39,"female",57500,743
1298263,875975,31,"male",46500,878
4890006,337407,34,"female",73000,546
155262,33795,43,"male",127300,696
1840470,440161,45,"male",140500,814
1411628,679444,44,"male",89300,662
8579172,90242,44,"male",98200,601
7355133,478579,46,"male",148800,754
9230267,731051,40,"male",89400,648
2064982,928509,56,"male",78300,812
2203929,805744,48,"female",77500,633
9163698,241788,44,"male",167700,750
3299257,419956,44,"male",126000,756
4178294,251622,36,"male",52600,624
9771487,468637,36,"male",112200,685
3729098,514967,48,"male",92400,727
9177722,560999,33,"male",50900,662
7866067,837184,37,"male",67500,637
7125807,932493,33,"female",104200,581
5908379,18329,46,"female",62400,385
6110759,412763,49,"female",132100,619
8201825,188082,29,"female",58000,633
5411041,185459,34,"male",259400,824
7775887,641449,44,"female",58200,535
5094728,127275,41,"female",157800,600
5197447,563157,34,"female",40100,755
8366457,563157,28,"female",59300,540
6058159,927009,33,"male",78900,636
4912867,473774,44,"male",111300,794
5786760,867008,37,"male",61000,658
3985779,867008,32,"female",45100,523
7028163,270769,57,"male",159100,660
41013,608440,36,"male",70800,697
1248160,717676,26,"male",82700,829
3648273,677984,45,"female",121400,643
3975024,882140,35,"female",52500,500
1897942,269280,31,"male",63900,702
961482,441100,48,"male",65200,488
6937426,66629,48,"male",81800,842
1456872,716362,47,"male",96000,625
7376289,396598,51,"female",162300,692
