"mg_acc","FSA","origin_date","property_type","purchase_price","amort_period","loan_size","interest_rate","TDS","default","Sample"
308084,"V0B",2018-01-06,"detached",774000,"25 years",572760,1.8,0.293131705187917,1,"Estimation"
412310,"V0B",2012-04-30,"detached",638000,"30 years",504020,2.17,0.249570104169813,0,"Estimation"
919886,"V0B",2018-06-24,"detached",465000,"25 years",372000,2.33,0.411653904491197,0,"Estimation"
449104,"V0B",2015-03-24,"detached",613000,"25 years",490400,2.92,0.198004813687093,NA,"Holdout"
220962,"V0B",2013-11-04,"detached",583000,"25 years",460570,1.76,0.282535980487623,0,"Estimation"
535019,"V0B",2018-10-30,"detached",493000,"25 years",394400,2.32,0.156945525000073,0,"Estimation"
954326,"V0B",2015-06-28,"semi-detached/row/town-houses",428000,"25 years",333840,2.98,0.288958878477654,0,"Estimation"
310243,"V0B",2016-03-28,"detached",578000,"25 years",450840,2.35,0.171332053567902,0,"Estimation"
180854,"V0B",2018-10-11,"detached",543000,"30 years",418110,2.3,0.315105281058596,0,"Estimation"
999002,"V0B",2017-09-18,"detached",662000,"25 years",529600,1.94,0.413866127336752,NA,"Holdout"
924474,"V0B",2015-12-15,"apartment",264000,"25 years",203280,2.34,0.21855481069366,0,"Validation"
371442,"V0B",2011-12-01,"detached",680000,"25 years",537200,3.09,0.270478544155142,0,"Estimation"
777644,"V0B",2015-10-09,"semi-detached/row/town-houses",293000,"25 years",234400,2.12,0.0881635440876464,NA,"Holdout"
941458,"V0B",2015-05-20,"detached",697000,"25 years",550630,1.26,0.196577835146117,0,"Validation"
785619,"V0B",2016-07-16,"semi-detached/row/town-houses",495000,"25 years",396000,1.55,0.29660508160931,0,"Validation"
986412,"V0B",2013-12-19,"detached",520000,"25 years",379600,2.32,0.264021382038151,0,"Estimation"
42590,"V0B",2018-09-09,"detached",679000,"25 years",543200,2.52,0.29534145615131,0,"Validation"
7427,"V0B",2018-11-15,"detached",776000,"25 years",613040,2.11,0.211445564522459,0,"Estimation"
41727,"V0B",2017-10-20,"detached",430000,"25 years",339700,2.9,0.257971862208988,1,"Validation"
385448,"V0B",2016-02-15,"detached",498000,"25 years",398400,2.59,0.432680335101226,0,"Estimation"
640206,"V0C",2011-12-30,"detached",466000,"25 years",372800,2.33,0.104867803593212,0,"Validation"
215295,"V0C",2015-05-15,"detached",551000,"25 years",429780,2.68,0.196063658050768,0,"Validation"
788719,"V0C",2018-04-20,"detached",478000,"25 years",377620,1.61,0.289959121987456,0,"Estimation"
785129,"V0C",2015-02-20,"detached",386000,"25 years",308800,3.1,0.0919446085336376,0,"Estimation"
946502,"V0C",2015-09-06,"detached",612000,"25 years",471240,2.38,0.27080457296153,0,"Estimation"
376869,"V0C",2016-12-22,"detached",390000,"30 years",296400,1.73,0.253779738023484,NA,"Holdout"
691301,"V0C",2018-02-16,"detached",498000,"25 years",398400,2.5,0.163962805799223,0,"Estimation"
589700,"V0C",2016-11-06,"detached",605000,"25 years",484000,1.28,0.225264039117677,NA,"Holdout"
288598,"V0C",2014-09-12,"detached",382000,"25 years",297960,2.33,0.233988772232397,0,"Estimation"
711781,"V0C",2017-10-21,"semi-detached/row/town-houses",333000,"25 years",266400,2.29,0.0905026499733861,NA,"Holdout"
171686,"V0C",2016-09-12,"detached",428000,"25 years",321000,1.94,0.162671326926183,0,"Estimation"
934711,"V0C",2018-09-27,"detached",473000,"25 years",378400,2.06,0.29003682333595,0,"Estimation"
987739,"V0C",2018-06-16,"detached",528000,"25 years",380160,2.74,0.416123149609305,1,"Estimation"
646707,"V0C",2014-09-13,"detached",611000,"25 years",470470,1.37,0.419979793782173,1,"Estimation"
81548,"V0C",2011-10-25,"detached",416000,"25 years",332800,2.41,0.338740815828657,NA,"Holdout"
340337,"V0C",2017-12-26,"detached",442000,"30 years",353600,1.75,0.353711518745508,0,"Estimation"
38769,"V0C",2018-03-08,"detached",426000,"25 years",336540,1.42,0.136685453627893,0,"Validation"
933359,"V0C",2018-03-10,"detached",476000,"25 years",380800,2.32,0.0960731445206521,0,"Estimation"
440770,"V0C",2015-06-23,"detached",555000,"30 years",444000,1.87,0.216155907793843,0,"Estimation"
368746,"V0C",2016-03-09,"detached",532000,"30 years",420280,1.86,0.266018335605789,0,"Estimation"
496896,"V0C",2015-08-03,"detached",364000,"25 years",291200,2.54,0.159195345934819,0,"Estimation"
504564,"V0C",2016-06-02,"detached",444000,"25 years",350760,2.36,0.382415346873257,0,"Validation"
907944,"V0C",2018-11-07,"detached",633000,"25 years",506400,2.16,0.279415468517463,NA,"Holdout"
854631,"V0C",2015-10-02,"detached",455000,"25 years",364000,1.98,0.147091157325259,0,"Estimation"
458281,"V0C",2014-09-12,"detached",427000,"25 years",337330,1.73,0.142445894993014,0,"Estimation"
448604,"V0C",2013-01-26,"detached",450000,"30 years",351000,2.45,0.351559632096516,0,"Estimation"
257902,"V0C",2017-10-25,"apartment",478000,"30 years",382400,2.81,0.437768457085522,1,"Estimation"
357084,"V0C",2015-02-03,"detached",445000,"20 years",356000,2.42,0.23481668906377,0,"Estimation"
631976,"V0C",2018-01-05,"detached",394000,"25 years",315200,2.2,0.186544604498446,0,"Estimation"
241825,"V0C",2017-01-07,"detached",611000,"20 years",488800,2.48,0.275942480219893,0,"Estimation"
162353,"V0C",2018-05-19,"detached",375000,"25 years",3e+05,1.77,0.204663889117818,0,"Estimation"
243229,"V0C",2013-08-28,"detached",523000,"25 years",418400,1.85,0.365436438740925,1,"Estimation"
116464,"V0C",2015-08-25,"detached",506000,"25 years",389620,1.57,0.246671676457299,NA,"Holdout"
528022,"V0C",2014-08-20,"detached",512000,"20 years",399360,1.98,0.155069758935309,NA,"Holdout"
213042,"V0C",2016-05-02,"detached",511000,"25 years",408800,2.26,0.393669265797563,NA,"Holdout"
726844,"V0C",2013-03-12,"detached",449000,"25 years",359200,2.01,0.14875180357521,0,"Validation"
690886,"V0C",2017-04-07,"detached",613000,"25 years",472010,1.89,0.436806097848857,NA,"Holdout"
335460,"V0E",2018-03-20,"detached",563000,"25 years",444770,2.39,0.419077552862322,NA,"Holdout"
662927,"V0E",2018-04-11,"detached",5e+05,"25 years",4e+05,1.76,0.23504900791594,0,"Estimation"
952249,"V0E",2017-06-28,"detached",622000,"25 years",497600,1.33,0.401994221145464,0,"Estimation"
722579,"V0E",2017-11-18,"detached",726000,"25 years",580800,2.82,0.417234169944668,0,"Validation"
884245,"V0E",2013-01-05,"semi-detached/row/town-houses",210000,"25 years",168000,1.68,0.111535709079225,0,"Validation"
428768,"V0E",2016-03-31,"detached",732000,"25 years",585600,2.42,0.296120955736118,0,"Estimation"
758618,"V0E",2013-12-19,"detached",499000,"25 years",399200,2.09,0.349263546979589,NA,"Holdout"
454956,"V0E",2013-11-22,"apartment",251000,"25 years",200800,2.02,0.198636596177983,0,"Validation"
73405,"V0E",2011-05-12,"detached",536000,"25 years",423440,2.22,0.411271292140632,NA,"Holdout"
784705,"V0E",2017-07-20,"detached",751000,"25 years",600800,2.02,0.400964526488685,0,"Validation"
980236,"V0E",2018-02-15,"detached",695000,"25 years",556000,1.84,0.261028072953003,0,"Validation"
478162,"V0E",2013-10-11,"apartment",243000,"30 years",184680,1.56,0.130050259989107,0,"Estimation"
545040,"V0E",2016-02-04,"detached",477000,"30 years",381600,2.6,0.374984758300787,NA,"Holdout"
839592,"V0E",2014-12-25,"detached",514000,"30 years",411200,1.9,0.371671732982424,0,"Estimation"
340409,"V0E",2018-09-03,"detached",536000,"25 years",428800,1.52,0.323236415240384,0,"Estimation"
79987,"V0E",2018-08-01,"detached",523000,"30 years",418400,2.27,0.299614233082692,1,"Estimation"
526852,"V0E",2012-08-26,"detached",750000,"25 years",592500,2.3,0.230678988441344,0,"Validation"
543249,"V0E",2018-03-05,"detached",681000,"25 years",544800,1.88,0.260241734284348,0,"Estimation"
500834,"V0E",2016-03-26,"detached",474000,"25 years",374460,1.65,0.315371387201687,0,"Validation"
835000,"V0E",2018-07-03,"detached",435000,"25 years",334950,2.02,0.335223700765168,0,"Estimation"
442236,"V0E",2018-04-23,"detached",541000,"25 years",432800,1.77,0.312228630038231,NA,"Holdout"
902808,"V0E",2014-05-14,"detached",627000,"25 years",438900,2.27,0.370199541913493,0,"Validation"
443435,"V0E",2016-06-27,"detached",526000,"25 years",415540,1.97,0.226838787819479,0,"Validation"
784884,"V0E",2014-03-16,"detached",442000,"20 years",349180,2.19,0.189450823917863,0,"Validation"
856923,"V0E",2014-09-02,"semi-detached/row/town-houses",266000,"25 years",212800,2.4,0.191396234241648,0,"Estimation"
850334,"V0E",2018-07-18,"detached",661000,"25 years",508970,2.01,0.260444434149648,0,"Estimation"
572961,"V0E",2016-11-28,"detached",537000,"20 years",429600,2.57,0.315015081227671,0,"Estimation"
499069,"V0E",2017-12-20,"detached",458000,"25 years",357240,2.29,0.305789798629832,0,"Estimation"
9385,"V0E",2017-03-21,"detached",508000,"25 years",391160,2.26,0.338880627601496,0,"Estimation"
770518,"V0E",2016-09-26,"detached",573000,"25 years",458400,1.9,0.278265851666139,0,"Estimation"
506918,"V0E",2018-04-12,"detached",461000,"25 years",368800,1.75,0.194614921987997,NA,"Holdout"
12085,"V0E",2018-02-01,"detached",704000,"25 years",563200,2.04,0.327595555541985,NA,"Holdout"
959913,"V0E",2016-09-10,"semi-detached/row/town-houses",293000,"25 years",216820,2.05,0.193962950328027,0,"Estimation"
895460,"V0E",2017-10-14,"detached",657000,"25 years",525600,1.78,0.333018383512868,0,"Estimation"
371545,"V0E",2016-11-06,"detached",453000,"30 years",362400,1.21,0.153150139519744,0,"Estimation"
736457,"V0E",2011-04-20,"detached",650000,"25 years",507000,2.26,0.281348762515787,0,"Validation"
34527,"V0E",2011-06-20,"detached",763000,"25 years",602770,1.25,0.351189234791886,NA,"Holdout"
128929,"V0E",2015-08-16,"detached",422000,"25 years",337600,2.21,0.331597035561827,0,"Validation"
13330,"V0E",2016-05-04,"detached",650000,"25 years",513500,2.4,0.278345399935742,0,"Estimation"
925528,"V0E",2018-02-12,"detached",481000,"25 years",365560,3.28,0.103438568767715,0,"Estimation"
710946,"V0E",2018-07-18,"detached",529000,"25 years",396750,1.27,0.281005954927804,NA,"Holdout"
497829,"V0E",2017-12-03,"detached",780000,"30 years",624000,1.24,0.429821536853354,1,"Validation"
615010,"V0E",2013-01-09,"detached",498000,"25 years",398400,2.57,0.242322183179575,0,"Estimation"
885463,"V0E",2014-10-22,"detached",457000,"25 years",361030,2.23,0.182110241139654,0,"Validation"
879769,"V0E",2017-10-14,"detached",715000,"25 years",572000,2.82,0.357867912918836,NA,"Holdout"
257199,"V0E",2014-10-11,"detached",756000,"25 years",604800,2.27,0.210790371668088,0,"Estimation"
430616,"V0E",2011-04-05,"detached",453000,"25 years",357870,2.09,0.383728487609121,1,"Validation"
209936,"V0E",2014-05-25,"detached",668000,"25 years",534400,1.95,0.198893370053094,0,"Validation"
89504,"V0E",2016-09-11,"detached",552000,"25 years",441600,2.49,0.388987054451929,0,"Estimation"
943102,"V0E",2015-09-30,"detached",750000,"20 years",585000,2.74,0.275086688071284,1,"Validation"
487320,"V0E",2013-12-25,"detached",518000,"25 years",414400,2.5,0.252287964971112,0,"Estimation"
41717,"V0E",2016-07-11,"detached",543000,"30 years",434400,2.61,0.220297513441261,NA,"Holdout"
684965,"V0E",2014-07-08,"detached",605000,"20 years",471900,1.98,0.278152037542426,0,"Validation"
36196,"V0E",2012-04-03,"detached",434000,"25 years",342860,1.25,0.0979817564523125,NA,"Holdout"
528144,"V0E",2014-06-14,"detached",647000,"30 years",517600,1.26,0.377172732491439,0,"Estimation"
950055,"V0E",2014-06-24,"detached",589000,"25 years",471200,2.23,0.444827907179444,NA,"Holdout"
969176,"V0E",2014-06-11,"detached",624000,"30 years",499200,2.33,0.353360620919059,1,"Estimation"
49703,"V0E",2016-12-24,"detached",558000,"25 years",446400,2.84,0.292590530472959,1,"Estimation"
720385,"V0E",2013-02-26,"detached",551000,"25 years",440800,3.06,0.155467309729941,NA,"Holdout"
849762,"V0E",2015-06-15,"detached",426000,"25 years",340800,1.9,0.300586499617228,NA,"Holdout"
687424,"V0E",2017-07-08,"detached",464000,"30 years",371200,1.56,0.328263020719939,0,"Estimation"
271637,"V0E",2018-04-11,"detached",445000,"30 years",347100,1.98,0.308251783410387,NA,"Holdout"
179041,"V0E",2013-01-29,"semi-detached/row/town-houses",273000,"30 years",218400,3.01,0.157885108657312,0,"Validation"
633002,"V0E",2018-01-03,"detached",499000,"25 years",399200,1.86,0.270978707361419,0,"Estimation"
151225,"V0E",2017-04-08,"detached",558000,"30 years",446400,2.15,0.269184945072414,NA,"Holdout"
994341,"V0E",2014-07-14,"semi-detached/row/town-houses",189000,"25 years",149310,1.65,0.126788494230972,0,"Estimation"
240177,"V0E",2017-01-18,"detached",647000,"25 years",517600,2.54,0.252613981310784,NA,"Holdout"
395083,"V0E",2016-11-03,"detached",587000,"25 years",457860,2.44,0.187699284880309,NA,"Holdout"
613012,"V0E",2018-04-11,"detached",417000,"25 years",304410,3.24,0.22468768593335,0,"Estimation"
864989,"V0E",2017-06-01,"detached",648000,"20 years",518400,2.05,0.218298574847419,0,"Estimation"
289229,"V0E",2012-06-22,"detached",452000,"25 years",357080,2.26,0.224941253945766,0,"Estimation"
117116,"V0E",2018-11-25,"detached",459000,"25 years",362610,2.05,0.186581986917319,0,"Estimation"
623179,"V0E",2013-11-11,"detached",519000,"30 years",415200,2.58,0.185074098614309,NA,"Holdout"
284438,"V0E",2016-10-16,"apartment",254000,"25 years",203200,1.7,0.206144197483987,0,"Estimation"
415273,"V0E",2016-07-18,"semi-detached/row/town-houses",246000,"25 years",186960,1.7,0.123185305178828,0,"Validation"
404455,"V0E",2017-05-29,"detached",677000,"30 years",541600,1.83,0.363319387276499,NA,"Holdout"
921527,"V0E",2018-07-16,"detached",561000,"20 years",448800,1.32,0.296323909894351,1,"Estimation"
95590,"V0E",2018-04-07,"detached",685000,"25 years",541150,2.04,0.442215578606566,0,"Validation"
578354,"V0E",2014-12-22,"semi-detached/row/town-houses",223000,"25 years",178400,1.75,0.110411089179069,0,"Validation"
96240,"V0G",2017-10-21,"detached",319000,"25 years",248820,1.98,0.247220190005504,0,"Estimation"
49692,"V0G",2018-12-03,"detached",298000,"25 years",238400,1.65,0.0710594682640547,0,"Validation"
70376,"V0G",2016-10-29,"semi-detached/row/town-houses",457000,"25 years",356460,1.45,0.284083778313584,NA,"Holdout"
936737,"V0G",2017-07-30,"detached",297000,"25 years",228690,1.4,0.184874836657425,0,"Validation"
684132,"V0G",2014-02-18,"detached",274000,"25 years",219200,1.66,0.128830840448037,0,"Estimation"
134816,"V0G",2017-03-14,"detached",339000,"25 years",271200,3.16,0.156251736150451,NA,"Holdout"
706605,"V0G",2013-12-07,"detached",419000,"30 years",335200,1.88,0.263382951521683,1,"Estimation"
544646,"V0G",2014-12-01,"detached",484000,"25 years",387200,1.25,0.177204157075053,1,"Estimation"
402162,"V0G",2018-01-10,"detached",281000,"25 years",221990,2.51,0.161821953950912,0,"Estimation"
611212,"V0G",2016-03-18,"detached",424000,"30 years",334960,1.37,0.269405829818451,NA,"Holdout"
288420,"V0G",2017-11-29,"detached",411000,"25 years",328800,2.8,0.429695751521908,NA,"Holdout"
881933,"V0G",2016-01-02,"detached",331000,"25 years",251560,1.52,0.0620158434987126,0,"Validation"
954428,"V0G",2015-04-27,"detached",444000,"25 years",355200,2.34,0.346749292431932,NA,"Holdout"
821788,"V0G",2016-10-06,"detached",462000,"30 years",341880,1.43,0.217173836029813,0,"Estimation"
205853,"V0G",2018-01-05,"detached",298000,"25 years",232440,1.88,0.129432787752357,0,"Estimation"
679504,"V0G",2018-10-11,"semi-detached/row/town-houses",330000,"25 years",264000,2.28,0.244400180651948,0,"Estimation"
161528,"V0G",2018-05-24,"detached",476000,"25 years",380800,1.77,0.216077385910109,0,"Estimation"
31812,"V0G",2015-01-18,"detached",346000,"25 years",256040,1.54,0.127763585103587,0,"Estimation"
42066,"V0G",2017-10-19,"detached",358000,"25 years",282820,1.93,0.307365903931158,1,"Estimation"
346326,"V0G",2013-12-30,"detached",398000,"25 years",310440,2.39,0.15687008261976,NA,"Holdout"
402070,"V0G",2018-10-09,"detached",367000,"30 years",293600,1.44,0.194585243145904,1,"Estimation"
59746,"V0G",2018-02-03,"detached",302000,"25 years",232540,1.78,0.117973195324859,0,"Validation"
255922,"V0G",2014-03-26,"detached",365000,"25 years",273750,1.45,0.288465024774152,0,"Estimation"
933913,"V0G",2018-05-13,"detached",386000,"30 years",301080,2.07,0.222558825097479,1,"Validation"
149122,"V0G",2016-02-06,"detached",409000,"25 years",327200,2.07,0.137173506309366,0,"Estimation"
965133,"V0G",2017-03-24,"detached",438000,"25 years",302220,1.81,0.205361494363696,0,"Validation"
751435,"V0G",2017-02-18,"detached",393000,"25 years",314400,3.08,0.241618502684942,0,"Estimation"
289031,"V0G",2014-01-20,"detached",355000,"25 years",266250,1.95,0.271398123704294,NA,"Holdout"
673077,"V0G",2013-08-06,"detached",279000,"25 years",223200,1.88,0.0797165105728148,NA,"Holdout"
533846,"V0G",2018-06-09,"detached",426000,"25 years",319500,2.68,0.278551300971397,0,"Estimation"
198061,"V0G",2017-03-04,"detached",417000,"25 years",333600,3.13,0.156557428574111,0,"Validation"
345251,"V0G",2016-03-16,"detached",271000,"25 years",211380,2.07,0.1946629948327,0,"Estimation"
218823,"V0G",2012-08-26,"detached",362000,"20 years",289600,2.12,0.15923351106735,NA,"Holdout"
630399,"V0G",2015-12-30,"detached",424000,"30 years",326480,3.36,0.260774991247956,1,"Estimation"
978467,"V0G",2017-06-06,"detached",390000,"25 years",308100,2.54,0.231076669289393,0,"Estimation"
929587,"V0G",2013-06-10,"apartment",186000,"25 years",146940,1.72,0.166859248120527,0,"Estimation"
649834,"V0G",2014-08-28,"detached",428000,"25 years",338120,2.14,0.142754690289144,NA,"Holdout"
702897,"V0G",2018-06-17,"detached",307000,"25 years",236390,2.03,0.181029152801688,NA,"Holdout"
832237,"V0G",2012-04-29,"detached",391000,"30 years",312800,1.92,0.333886479904075,0,"Estimation"
337655,"V0G",2016-10-31,"detached",302000,"25 years",232540,1.46,0.241465201560251,0,"Validation"
116929,"V0G",2014-12-11,"detached",331000,"25 years",264800,2.04,0.103313001437707,0,"Validation"
93677,"V0G",2012-04-02,"detached",469000,"20 years",375200,1.47,0.222946518395324,1,"Estimation"
155874,"V0G",2015-01-29,"detached",394000,"25 years",303380,2.27,0.343523782247469,1,"Estimation"
744296,"V0G",2015-12-08,"detached",284000,"25 years",227200,2.19,0.0817613159573581,0,"Estimation"
923632,"V0G",2017-04-22,"detached",449000,"25 years",359200,2.09,0.376300906459307,0,"Estimation"
255025,"V0G",2017-08-14,"detached",448000,"30 years",340480,1.93,0.283796353227523,0,"Validation"
348957,"V0G",2013-11-14,"detached",389000,"25 years",311200,1.59,0.0927329225987231,NA,"Holdout"
763771,"V0G",2017-08-24,"apartment",208000,"25 years",164320,1.82,0.174126468717094,0,"Estimation"
450407,"V0G",2012-02-08,"detached",296000,"25 years",236800,2.22,0.0997898749902326,0,"Validation"
325831,"V0G",2014-09-19,"detached",343000,"25 years",257250,1.92,0.0672405130489037,0,"Estimation"
792055,"V0H",2017-02-04,"detached",557000,"30 years",445600,2.64,0.299027041789262,0,"Estimation"
56480,"V0H",2018-08-07,"detached",597000,"30 years",477600,1.94,0.428243814400478,NA,"Holdout"
766962,"V0H",2016-12-04,"semi-detached/row/town-houses",377000,"25 years",301600,2.69,0.329482542974347,1,"Validation"
838873,"V0H",2014-12-25,"detached",664000,"25 years",511280,1.96,0.256092150654742,0,"Validation"
484392,"V0H",2018-12-17,"detached",811000,"30 years",648800,2.17,0.36064994964719,0,"Estimation"
141718,"V0H",2015-01-09,"detached",476000,"25 years",380800,1.63,0.114434309713489,0,"Validation"
506324,"V0H",2013-08-15,"apartment",332000,"25 years",265600,1.52,0.183232718276504,NA,"Holdout"
521283,"V0H",2018-11-26,"detached",689000,"25 years",537420,2.11,0.225791917723485,0,"Validation"
934898,"V0H",2018-02-12,"detached",470000,"30 years",371300,2.5,0.213895389821104,0,"Estimation"
285994,"V0H",2018-01-18,"apartment",334000,"20 years",263860,2,0.185006149733117,NA,"Holdout"
59238,"V0H",2014-03-02,"detached",653000,"25 years",509340,1.44,0.417846167685644,NA,"Holdout"
224511,"V0H",2013-08-30,"detached",529000,"25 years",423200,1.94,0.300438132772569,0,"Estimation"
691431,"V0H",2015-06-12,"detached",804000,"25 years",635160,2.18,0.397158253733214,0,"Validation"
510810,"V0H",2017-11-13,"detached",596000,"30 years",464880,1.36,0.36374307548973,NA,"Holdout"
218591,"V0H",2014-12-29,"detached",604000,"30 years",483200,1.55,0.268235138154794,0,"Validation"
814359,"V0H",2018-07-13,"detached",655000,"25 years",524000,2.61,0.295807726472935,1,"Validation"
836285,"V0H",2018-12-09,"apartment",333000,"30 years",263070,2.99,0.291387678108634,0,"Estimation"
591760,"V0H",2015-12-30,"detached",613000,"25 years",490400,1.79,0.316996388249062,0,"Estimation"
873252,"V0H",2015-04-04,"detached",784000,"25 years",627200,1.44,0.296748008020399,1,"Validation"
184233,"V0H",2016-08-03,"detached",730000,"25 years",584000,2.02,0.314676462155179,0,"Estimation"
487673,"V0H",2018-09-13,"detached",489000,"25 years",342300,1.38,0.225402864008407,0,"Validation"
379331,"V0H",2016-10-23,"detached",538000,"30 years",430400,2.38,0.423499462768174,1,"Validation"
415406,"V0H",2017-05-22,"detached",841000,"30 years",672800,2.05,0.409054058454003,0,"Validation"
78408,"V0H",2018-09-09,"detached",862000,"25 years",680980,1.72,0.159376484866348,0,"Estimation"
972685,"V0H",2017-02-27,"detached",490000,"25 years",392000,3.03,0.253019742693611,1,"Estimation"
69830,"V0H",2018-10-02,"detached",484000,"25 years",387200,2.52,0.437354848032208,0,"Validation"
858944,"V0H",2018-03-30,"detached",490000,"25 years",377300,3.05,0.193883395323328,0,"Estimation"
203566,"V0H",2018-04-02,"detached",535000,"25 years",428000,1.83,0.219901154894117,NA,"Holdout"
550312,"V0H",2015-02-13,"semi-detached/row/town-houses",374000,"25 years",291720,1.74,0.153255544034868,0,"Estimation"
